id x y start mine linked
1 4.175 0.105 False False [2,32]
2 4.245 1.465 False False [1,18,17,32,3]
3 5.715 1.565 False False [2,19,4]
4 5.705 0.18 False False [3,5]
5 8.01 0.735 False False [4,6]
6 8.005 1.83 False False [5,7,8,11,29]
7 7.005 1.845 False False [6,8]
8 6.985 2.4050000000000002 False False [6,7,9,11]
9 6.405 2.48 False False [8,10]
10 6.47 3.41 False False [9,11]
11 6.535 4.42 False False [6,8,10,12,28]
12 5.19 4.44 False False [11,13]
13 3.865 4.48 False False [12,14]
14 3.2 4.355 False False [13,15,42]
15 3.1950000000000003 3.44 False False [14,16,39,42]
16 3.17 2.44 False False [15,17,41,39]
17 3.15 1.72 False False [2,16,18,32]
18 4.255 2.04 False False [2,17,19]
19 5.105 2.065 False False [3,18,20,27]
20 5.505 2.105 False False [19,21,27]
21 5.5200000000000005 2.77 False False [20,22,25,27]
22 5.26 2.985 False False [21,23,27]
23 4.585 3.47 False False [22,25,26]
24 4.105 2.7 False False [26,27]
25 5.805 3.615 False False [21,23]
26 4.63 2.93 False False [23,24,27]
27 5.075 2.6750000000000003 False False [19,20,21,22,24,26]
28 7.615 3.495 False False [11,29]
29 8.275 4.29 False True [6,28]
30 0.38 0.34500000000000003 False False [31,33]
31 3.485 0.41500000000000004 False False [30,32]
32 3.6350000000000002 1.23 False False [1,2,17,31]
33 0.41000000000000003 1.645 False False [30,34,38,37]
34 1.47 1.695 False False [33,37]
35 2.085 2.15 False False [39,41]
36 2.5300000000000002 4.6450000000000005 False False [38,37,39,42]
37 0.9 3.2 False False [33,34,36,38,39]
38 0.24 4.675 False False [33,36,37]
39 2.585 2.945 False False [15,16,35,36,37,40,41]
40 2.71 1.685 False False [39,41]
41 2.62 2.1350000000000002 False False [16,35,39,40]
42 2.6350000000000002 3.62 False False [14,15,36]
